goodroadv,transport,pro3,tapwater,roadv,rm2c7d,rm2c7e,rm2c7g,animal_s,agrvisit,plant_s,agrext,irrigation,rm2c7c,pro5,pro4,rm2c7b,useschool,kgarten,v_prischool,broadcast,post,vpost,rm2c7a,rm2c7f,market,nonfarm,vmarket1,vmarket2,vmarket3,treatment,id_district,lnarea,lnpopden,city,reg8,rnongnghiep,rcongnghiep,rdichvu,year,tinh,post_treat
1,1,0,0,1,0,0,0,1,0.04,0,0,1,3.586028760764748e-4,1,0,0.005737646017223597,0,1,0,1,1,0,0.05586592108011246,0,1,1,0,0,0,0,101d17,2.1041340827941895,6.127774238586426,1,1,-0.17019402980804443,2.093684434890747,1.7618595361709595,2006,101,0
1,1,1,0,1,0,0.1113467663526535,0,1,0.02,1,0,1,0.0021069692447781563,0,0,0.003403565613552928,1,1,1,1,1,1,0.07423117756843567,0.009897490032017231,1,0,1,0,1,0,101d17,1.9878743886947632,5.959804058074951,1,1,-0.17019402980804443,2.093684434890747,1.7618595361709595,2006,101,0
1,1,1,0,1,0,0.11285772174596786,0,1,0.06,1,0,1,0.0039281705394387245,0,1,0.003460531122982502,0,1,0,1,1,0,0.06045949086546898,0.023780733346939087,1,1,0,0,0,0,101d17,2.1972246170043945,5.619192600250244,1,1,-0.17019402980804443,2.093684434890747,1.7618595361709595,2006,101,0
1,1,1,0,1,0,0.04712892696261406,0,1,0.06,1,0,1,0.0048816208727657795,0,0,0.009030998684465885,1,1,1,1,1,0,0.3499458432197571,0,0,1,0,0,0,0,101d19,1.7698546648025513,5.750921726226807,1,1,-0.17019402980804443,2.093684434890747,1.7618595361709595,2006,101,0
1,1,0,0,1,0,0,0,1,0.02,1,0,1,0,0,0,7.989879231899977e-4,1,1,1,1,1,1,0,0,1,1,1,0,0,0,101d19,1.5851452350616455,6.420555591583252,1,1,-0.17019402980804443,2.093684434890747,1.7618595361709595,2006,101,0
1,1,0,0,1,0,0,0,1,0.01,0,0,0,0,0,0,0.007249467074871063,0,1,1,1,1,1,0,0,1,1,1,1,1,0,101d19,1.724550724029541,5.954700469970703,1,1,-0.17019402980804443,2.093684434890747,1.7618595361709595,2006,101,0
1,1,0,0,1,0,0,0.8476380705833435,1,0.03,0,0,1,0.10064981877803802,0,1,0.004620938561856747,1,1,1,1,1,0,0.31071192026138306,0,1,0,0,0,0,0,101d21,1.2809338569641113,6.034284591674805,1,1,-0.17019402980804443,2.093684434890747,1.7618595361709595,2006,101,0
1,1,1,1,1,0,0.07919999957084656,0,1,0.04,1,0,1,0.18613366782665253,0,1,0.0037476576399058104,0,1,0,1,1,1,0.12319999933242798,0.01640000008046627,1,1,1,0,0,0,101d21,1.7749524116516113,6.049093723297119,1,1,-0.17019402980804443,2.093684434890747,1.7618595361709595,2006,101,0
1,0,0,0,1,0,0,0.01259529311209917,1,0.05,1,0,1,0,1,0,0.005698817316442728,0,1,0,1,0,1,0.09943652898073196,0.008286377415060997,1,1,0,0,0,0,101d21,1.695615530014038,6.316402435302734,1,1,-0.17019402980804443,2.093684434890747,1.7618595361709595,2006,101,0
1,1,1,1,1,0,0,0,1,0.06,0,0,1,0.0071361251175403595,0,0,0.005385754629969597,0,1,1,1,1,1,0.006635699886828661,0,1,0,1,1,0,0,101d21,1.6695917844772339,6.341431617736816,1,1,-0.17019402980804443,2.093684434890747,1.7618595361709595,2006,101,0
1,1,1,1,1,0.0015981735195964575,0.016438355669379234,0.0061643836088478565,1,0.12,1,0,1,0.014847343787550926,0,0,0.00334588042460382,1,1,1,1,1,1,0.026940640062093735,0.08264840394258499,1,1,1,0,0,0,101d21,1.816777229309082,6.568027019500732,1,1,-0.17019402980804443,2.093684434890747,1.7618595361709595,2006,101,0
1,1,1,0,1,0.003703703638166189,0.007407407276332378,0.018518518656492233,1,0.02,1,0,1,0.0015037594130262733,0,1,0.003759398590773344,0,1,0,1,1,1,0.14814814925193787,0.0055555556900799274,1,1,1,0,0,0,101d21,0.9932518005371094,6.907755374908447,1,1,-0.17019402980804443,2.093684434890747,1.7618595361709595,2006,101,0
1,1,0,1,1,0,0,0.09236031770706177,1,0.08,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,101d23,1.0647107362747192,6.404943466186523,1,1,-0.17019402980804443,2.093684434890747,1.7618595361709595,2006,101,0
1,1,0,1,1,0,0,0.024961793795228004,1,0.08,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,101d23,1.4109869003295898,6.1712422370910645,1,1,-0.17019402980804443,2.093684434890747,1.7618595361709595,2006,101,0
1,1,0,0,1,0,0,0.01545253861695528,1,0.02,0,0,1,0,0,0,0.0013204225106164813,0,1,0,1,1,0,0.057395145297050476,0,1,0,0,0,0,1,103d11,1.9968748092651367,5.728455066680908,1,1,0.15176038444042206,2.4519991874694824,1.2668050527572632,2006,103,0
1,1,1,0,1,0,0,0,1,0.1,0,0,1,0,0,1,0.001851090113632381,0,0,1,1,1,0,0.08258258551359177,0,1,1,1,0,0,1,103d11,2.327277660369873,5.560306549072266,1,1,0.15176038444042206,2.4519991874694824,1.2668050527572632,2006,103,0
1,1,1,0,1,0,0,0,1,0.03,1,0,1,0,0,0,0.008290317840874195,0,1,1,1,1,1,0.06961613893508911,0,1,0,1,0,0,1,103d11,1.3532544374465942,5.984333038330078,1,1,0.15176038444042206,2.4519991874694824,1.2668050527572632,2006,103,0
1,1,0,0,1,0,0,0,1,0.45,0,0,1,0.006980315316468477,0,0,0.005584252532571554,0,1,0,1,1,0,0.0181818176060915,0,1,0,0,0,0,1,103d11,1.7173950672149658,5.755673885345459,1,1,0.15176038444042206,2.4519991874694824,1.2668050527572632,2006,103,0
1,1,0,0,1,0,0,0,1,0.04,0,0,0,0,0,0,0.003244295483455062,0,0,0,1,1,1,0.051948051899671555,0,1,1,1,1,1,1,103d11,1.5727739334106445,6.172228813171387,1,1,0.15176038444042206,2.4519991874694824,1.2668050527572632,2006,103,0
1,1,1,0,1,0,0,0.08467400819063187,1,0.12,1,0,1,0.04818812757730484,0,0,0.005589822772890329,1,1,0,1,1,0,0,0,1,1,0,0,0,1,103d11,2.157559394836426,5.609704494476318,1,1,0.15176038444042206,2.4519991874694824,1.2668050527572632,2006,103,0
1,1,0,0,1,0,0,0.09246358275413513,1,0.03,1,0,1,0,0,0,0.004266076721251011,0,1,1,1,1,0,0.19696010649204254,0.002533248858526349,1,0,1,0,0,1,103d11,1.852697730064392,5.511849403381348,1,1,0.15176038444042206,2.4519991874694824,1.2668050527572632,2006,103,0
1,1,0,0,1,0.009694619104266167,0,0,1,0.06,0,0,1,0,0,1,0.003781512612476945,0,1,0,1,1,0,0.1900145411491394,0,1,1,0,1,0,1,103d11,2.1246538162231445,5.507262706756592,1,1,0.15176038444042206,2.4519991874694824,1.2668050527572632,2006,103,0
1,1,0,0,1,0,0,0,1,0.04,1,0,1,0,0,0,0.0077355834655463696,0,0,0,1,1,0,0,0,1,0,0,0,0,1,103d11,1.5260562896728516,5.758078575134277,1,1,0.15176038444042206,2.4519991874694824,1.2668050527572632,2006,103,0
0,1,0,0,0,0,0,0,1,0.02,0,0,1,0.014237743802368641,0,0,0.006715916562825441,0,1,0,1,1,0,0.1702127605676651,0,1,1,0,0,0,1,103d11,1.7783364057540894,5.627159118652344,1,1,0.15176038444042206,2.4519991874694824,1.2668050527572632,2006,103,0
1,1,0,0,1,0.066006600856781,0.0066006602719426155,0,1,0.5,1,0,1,0.08990669995546341,0,0,0.004240882117301226,0,1,1,1,1,0,0.3254125416278839,0,0,0,0,0,0,1,103d11,1.5496878623962402,5.773482799530029,1,1,0.15176038444042206,2.4519991874694824,1.2668050527572632,2006,103,0
1,1,0,0,1,0,0,1,1,0.2,1,0,1,0,0,0,0.0010731706861406565,0,1,0,1,1,0,0.8409090638160706,0,1,1,1,0,0,1,103d13,2.116255521774292,5.579957008361816,1,1,0.15176038444042206,2.4519991874694824,1.2668050527572632,2006,103,0
1,1,0,0,1,0,0,0,1,0.2,1,0,1,0,0,0,0.01646743156015873,1,1,0,1,0,0,0.26354551315307617,0,1,0,0,0,0,1,103d13,1.686398983001709,5.863736152648926,1,1,0.15176038444042206,2.4519991874694824,1.2668050527572632,2006,103,0
1,1,1,1,1,0.02604844979941845,0,0.21229486167430878,1,0.24,1,0,1,0,1,0,0.002279090927913785,0,1,1,1,1,1,0.08231310546398163,0,1,1,1,0,0,1,103d13,1.8515994548797607,6.401367664337158,1,1,0.15176038444042206,2.4519991874694824,1.2668050527572632,2006,103,0
1,1,0,0,1,0,0,0.7569296360015869,1,0.19,0,0,1,0,0,0,0.0072065237909555435,0,1,0,1,1,1,0.18834398686885834,0,1,1,0,0,0,1,103d13,1.6752257347106934,5.573989391326904,1,1,0.15176038444042206,2.4519991874694824,1.2668050527572632,2006,103,0
1,1,1,0,1,0,0,1,1,0.02,1,0,1,5.060728872194886e-4,0,0,0.0035425100941210985,0,1,0,1,1,0,0.0385887548327446,0,1,0,1,0,0,1,103d15,2.498973846435547,5.409780979156494,1,1,0.15176038444042206,2.4519991874694824,1.2668050527572632,2006,103,0
1,1,1,1,1,0,0,0,1,0.02,1,0,1,0,0,0,0.0015335071366280317,0,1,0,1,0,1,0.03859250992536545,0.0017026106361299753,1,1,1,0,0,1,103d15,1.2781522274017334,6.196052551269531,1,1,0.15176038444042206,2.4519991874694824,1.2668050527572632,2006,103,0
1,1,0,0,1,0,0,0,1,0.1,0,0,1,0,0,0,0,1,1,0,1,1,0,0.07228915393352509,0,0,1,0,0,0,1,103d15,1.7509374618530273,5.886778831481934,1,1,0.15176038444042206,2.4519991874694824,1.2668050527572632,2006,103,0
1,1,1,0,1,0,0,0,1,0.1,1,0,1,0,0,1,0.005451713223010302,0,1,0,1,1,0,0.2429906576871872,0,1,1,0,1,0,1,103d15,2.080690860748291,5.5878705978393555,1,1,0.15176038444042206,2.4519991874694824,1.2668050527572632,2006,103,0
1,1,0,0,1,0,0,0.1303475946187973,1,0.5,1,0,1,0.11653812974691391,0,0,0.0022279347758740187,0,1,0,1,1,0,0.11363636702299118,0,0,0,0,0,0,1,103d15,1.8946168422698975,5.415933132171631,1,1,0.15176038444042206,2.4519991874694824,1.2668050527572632,2006,103,0
1,1,0,0,1,0,0,0.06713780760765076,1,0.06,1,0,0,0.039296407252550125,0,0,0.001497006043791771,1,1,1,1,1,1,0.10600706934928894,0.0494699664413929,0,1,0,0,0,1,103d17,1.9558604955673218,5.2990241050720215,1,1,0.15176038444042206,2.4519991874694824,1.2668050527572632,2006,103,0
1,1,0,0,1,0,0,0,1,0.1,0,0,1,0,0,0,0,0,1,1,1,1,0,0.22177186608314514,0.007527504116296768,1,1,1,0,0,1,103d17,1.667706847190857,5.786434173583984,1,1,0.15176038444042206,2.4519991874694824,1.2668050527572632,2006,103,0
1,1,0,0,1,0,0,0,1,0.05,0,0,1,0,0,0,8.198961731977761e-4,0,1,1,1,1,0,0.3231106102466583,0,1,0,1,0,0,1,103d17,2.309560775756836,4.507174968719482,1,1,0.15176038444042206,2.4519991874694824,1.2668050527572632,2006,103,0
1,1,0,0,1,0.06818182021379471,0.6818181872367859,0,1,0.06,1,0,1,0.013483146205544472,0,0,0.010786516591906548,0,1,0,1,1,1,0.28999999165534973,0.013181817717850208,1,0,1,1,1,1,103d17,2.111424684524536,5.584787845611572,1,1,0.15176038444042206,2.4519991874694824,1.2668050527572632,2006,103,0
1,1,0,0,1,0,0,0,1,0.08,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,103d17,1.3110319375991821,6.1214518547058105,1,1,0.15176038444042206,2.4519991874694824,1.2668050527572632,2006,103,0
1,1,0,0,1,0.040462426841259,0.0033030554186552763,0,1,0.2,0,0,1,0.15161533653736115,1,0,0.011335726827383041,0,1,0,1,1,0,0,0,1,0,0,0,0,1,103d17,2.404238700866699,5.388110160827637,1,1,0.15176038444042206,2.4519991874694824,1.2668050527572632,2006,103,0
0,1,0,0,1,0.020593080669641495,0,0,1,0.18,1,0,1,0.19804449379444122,0,0,0.005387608427554369,0,1,0,1,1,0,0.642504096031189,0.00494233937934041,1,1,0,0,0,1,103d19,2.267993688583374,5.526829719543457,1,1,0.15176038444042206,2.4519991874694824,1.2668050527572632,2006,103,0
1,1,0,0,1,0,0,0,1,0.08,1,0,1,0.00827814545482397,0,0,0.006208609323948622,0,1,1,1,1,0,0.4327894449234009,0.006216006353497505,1,1,0,0,0,1,103d19,1.3862943649291992,5.77377462387085,1,1,0.15176038444042206,2.4519991874694824,1.2668050527572632,2006,103,0
1,1,0,0,1,0,0,0,1,0.04,1,0,1,0,0,0,0.0010155229829251766,0,1,0,1,1,0,0.20408163964748383,0.004081632476300001,0,1,0,0,0,1,103d19,1.9772703647613525,5.469898223876953,1,1,0.15176038444042206,2.4519991874694824,1.2668050527572632,2006,103,0
0,1,1,0,1,0,0,0,1,0.02,1,0,1,0.0029256874695420265,1,1,0.004681100137531757,0,1,0,1,1,0,0.04287756234407425,0.003811338683590293,0,1,0,0,0,1,103d19,2.9595868587493896,4.689629554748535,1,1,0.15176038444042206,2.4519991874694824,1.2668050527572632,2006,103,0
1,1,0,0,1,0,0,0,1,0.06,1,1,1,0,0,0,0,0,1,0,1,1,0,0.2655860483646393,0.007481296546757221,0,1,0,0,0,1,103d19,1.3850435018539429,5.302064895629883,1,1,0.15176038444042206,2.4519991874694824,1.2668050527572632,2006,103,0
1,1,0,0,1,0,0,0,1,0.03,1,0,1,0.07026298344135284,0,0,0.0025623736437410116,1,1,0,1,0,1,0.16512346267700195,0,1,0,1,1,1,1,103d21,1.8405497074127197,5.731953144073486,1,1,0.15176038444042206,2.4519991874694824,1.2668050527572632,2006,103,0
1,1,1,0,1,0,6.305170245468616e-4,0,1,0.05,1,0,1,0.2055513858795166,0,0,0.011065266095101833,0,1,0,1,1,0,0.09331651777029037,0,1,1,0,0,0,1,103d21,1.6992785930633545,5.669692039489746,1,1,0.15176038444042206,2.4519991874694824,1.2668050527572632,2006,103,0
1,1,1,0,1,0,0.006417112424969673,0,1,0.02,1,0,0,0.20873922109603882,1,0,0.023657111451029778,0,1,0,1,1,0,0.14438502490520477,0.0032085562124848366,0,0,0,0,0,1,103d21,1.82131826877594,5.712375640869141,1,1,0.15176038444042206,2.4519991874694824,1.2668050527572632,2006,103,0
1,0,1,0,1,0.022684309631586075,0,0,1,0.06,1,0,1,0.01652553863823414,0,1,0.008740780875086784,0,1,0,1,1,0,0.19565217196941376,0.009924385696649551,1,1,0,0,0,1,103d21,1.8148247003555298,5.842458248138428,1,1,0.15176038444042206,2.4519991874694824,1.2668050527572632,2006,103,0
1,1,1,0,1,0.03846153989434242,0,0,1,0.5,1,0,1,0.026345932856202126,0,1,0.004581901710480452,0,1,0,1,1,0,0,0,1,0,0,0,0,1,103d21,1.6409364938735962,5.5291829109191895,1,1,0.15176038444042206,2.4519991874694824,1.2668050527572632,2006,103,0
1,1,1,0,1,0.02450980432331562,0,0,1,0.05,1,0,1,0.01875521056354046,0,1,0.01055848877876997,1,1,0,1,1,0,0.21623094379901886,0.0027233115397393703,1,0,0,0,0,1,103d21,1.8196988105773926,5.695645809173584,1,1,0.15176038444042206,2.4519991874694824,1.2668050527572632,2006,103,0
1,1,0,0,1,0,0,0,1,0.05,1,0,1,0,0,1,0,0,1,0,0,1,0,0.23212628066539764,0,0,1,0,0,0,0,104d2,2.4501426219940186,5.224939346313477,0,1,0.3763430714607239,2.3940675258636475,0.6670373678207397,2006,104,0
1,1,1,0,1,0.016677357256412506,0,0.13406029343605042,1,0.02,1,0,1,0.28123340010643005,0,0,0.023391813039779663,0,1,0,1,1,0,0,0,1,1,1,1,0,1,104d3,2.041220188140869,5.310579776763916,0,1,0.3763430714607239,2.3940675258636475,0.6670373678207397,2006,104,0
1,0,1,0,1,0.018450183793902397,0,0,1,0.02,1,0,1,0.255517840385437,0,0,0.016638370230793953,0,1,0,1,1,0,0.028044279664754868,0,1,1,0,0,0,1,104d3,2.2894997596740723,4.922056674957275,0,1,0.3763430714607239,2.3940675258636475,0.6670373678207397,2006,104,0
1,1,1,0,1,0.014138118363916874,0,0,1,0.02,1,0,1,0.16748309135437012,0,0,0.006064847111701965,0,0,0,1,1,0,0.08754757791757584,0,0,1,0,0,0,1,104d3,2.580216884613037,4.936760425567627,0,1,0.3763430714607239,2.3940675258636475,0.6670373678207397,2006,104,0
1,1,1,0,1,0,0,0,1,0.02,1,0,1,0.18639855086803436,0,1,0.023723451420664787,0,1,1,0,1,0,0.12431444227695465,0,1,1,0,0,0,1,104d3,1.6292405128479004,5.3683552742004395,0,1,0.3763430714607239,2.3940675258636475,0.6670373678207397,2006,104,0
1,1,1,0,1,0.01949317753314972,0,0.15529564023017883,1,0.03,1,0,1,0.0034406825434416533,0,0,0.013487475924193859,1,0,0,1,0,0,0.005847953259944916,0,1,1,1,0,0,1,104d3,1.763016939163208,5.575870990753174,0,1,0.3763430714607239,2.3940675258636475,0.6670373678207397,2006,104,0
1,1,1,0,1,0,0,0,1,0.02,1,0,1,0.0692543089389801,0,1,0.009824448265135288,0,1,0,1,1,0,0.23363874852657318,0,1,1,0,1,0,1,104d3,2.088029623031616,5.243685245513916,0,1,0.3763430714607239,2.3940675258636475,0.6670373678207397,2006,104,0
1,1,0,0,1,0,0,0,1,0.02,1,0,1,0.03685053810477257,1,1,0.020141908898949623,0,0,0,0,1,0,0.04178537428379059,0,0,1,0,0,0,1,104d3,2.602689743041992,4.356709003448486,0,1,0.3763430714607239,2.3940675258636475,0.6670373678207397,2006,104,0
1,0,1,0,1,0,0,0.18162162601947784,1,0.04,1,0,1,0.010167193599045277,1,0,0.017623135820031166,0,1,0,1,1,0,0.12432432174682617,0,0,1,0,0,0,1,104d3,2.029463291168213,4.800330638885498,0,1,0.3763430714607239,2.3940675258636475,0.6670373678207397,2006,104,0
1,1,1,0,1,0,0.42229729890823364,1,1,0.04,1,0,1,0,0,0,0.09628009051084518,1,0,0,1,1,0,0,0,0,0,0,0,0,1,104d4,2.2332351207733154,4.843418598175049,0,1,0.3763430714607239,2.3940675258636475,0.6670373678207397,2006,104,0
1,1,0,0,1,0,0,0,1,0.12,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,104d4,2.314513683319092,5.098853588104248,0,1,0.3763430714607239,2.3940675258636475,0.6670373678207397,2006,104,0
1,1,1,0,1,0,0,1,1,0.06,1,0,1,0.01454757060855627,1,0,0.02545824833214283,0,0,1,1,1,1,0,0,1,0,0,0,0,1,104d5,1.8033586740493774,5.549082279205322,0,1,0.3763430714607239,2.3940675258636475,0.6670373678207397,2006,104,0
1,1,0,0,1,0,0,0,1,0.02,1,0,1,0.2365356683731079,0,0,0.004512372426688671,1,1,0,1,1,0,0.26233765482902527,0.26233765482902527,0,1,0,0,0,1,104d5,1.9919755458831787,5.347562313079834,0,1,0.3763430714607239,2.3940675258636475,0.6670373678207397,2006,104,0
1,1,0,0,1,0.15455950796604156,0,0,1,0.08,0,0,1,0,1,0,0.029646100476384163,0,1,0,1,1,1,0.927357017993927,0,1,0,0,0,0,1,104d5,2.0028305053710938,5.162662982940674,0,1,0.3763430714607239,2.3940675258636475,0.6670373678207397,2006,104,0
1,1,0,0,1,0,0,1,1,0.04,1,0,0,0.114621601998806,1,1,0.00499632628634572,0,1,0,1,1,1,0.18907849490642548,0,0,0,0,0,0,1,104d5,1.8855533599853516,5.404057025909424,0,1,0.3763430714607239,2.3940675258636475,0.6670373678207397,2006,104,0
1,1,0,0,1,0.03896103799343109,0,0.04943443834781647,1,0.59,1,0,1,0.04872451350092888,0,0,0.010680554434657097,0,1,0,1,1,0,0.020946795120835304,0,0,1,0,0,0,1,104d6,2.2512917518615723,5.526500701904297,0,1,0.3763430714607239,2.3940675258636475,0.6670373678207397,2006,104,0
1,0,0,0,1,0,0,0,1,0.01,1,0,1,0.002690583001822233,0,0,0.008968610316514969,0,1,0,1,1,0,0.03222094476222992,0,0,1,0,0,0,1,104d6,3.8684890270233154,2.8988540172576904,0,1,0.3763430714607239,2.3940675258636475,0.6670373678207397,2006,104,0
1,0,0,0,1,0,1,0.9682416915893555,1,0.1,1,0,1,1,1,0,NA,0,0,0,0,1,0,0.37645235657691956,0,1,1,0,0,0,1,104d6,3.802208185195923,3.360964298248291,0,1,0.3763430714607239,2.3940675258636475,0.6670373678207397,2006,104,0
1,1,1,0,1,0,0,0.07897984236478806,1,0.06,1,0,1,0.0015564202331006527,1,0,0.0035019456408917904,0,1,0,1,1,0,0.041135333478450775,0,1,1,0,0,0,1,104d6,2.468946695327759,5.32711124420166,0,1,0.3763430714607239,2.3940675258636475,0.6670373678207397,2006,104,0
1,1,1,0,1,0,0,0,1,0.18,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,1,1,0,1,1,104d7,1.665818214416504,6.336206436157227,0,1,0.3763430714607239,2.3940675258636475,0.6670373678207397,2006,104,0
1,1,1,0,1,0,0,0,1,0.15,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,104d7,2.332144021987915,5.275237560272217,0,1,0.3763430714607239,2.3940675258636475,0.6670373678207397,2006,104,0
1,0,0,0,1,0,0.19249147176742554,0.19249147176742554,1,0.12,1,0,0,0.18351498246192932,0,0,0,0,0,0,1,1,0,0,0.19249147176742554,1,0,0,0,0,1,104d7,1.6134299039840698,5.676180362701416,0,1,0.3763430714607239,2.3940675258636475,0.6670373678207397,2006,104,0
1,1,1,0,1,0,0,0,1,0.1,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,104d7,1.0986123085021973,6.118097305297852,0,1,0.3763430714607239,2.3940675258636475,0.6670373678207397,2006,104,0
1,1,0,0,1,0.008599508553743362,0.12899263203144073,0.7285012006759644,1,0.04,1,0,0,0.05361855775117874,0,0,0.011251562274992466,0,1,1,1,1,1,0.22235871851444244,0,1,1,1,0,0,1,104d7,1.6042243242263794,5.7908830642700195,0,1,0.3763430714607239,2.3940675258636475,0.6670373678207397,2006,104,0
1,0,0,0,1,0,0,0,1,0.18,1,0,1,0,0,0,0,0,1,0,1,1,0,0.06018691509962082,0,1,0,0,0,0,1,104d7,2.0028305053710938,5.888874053955078,0,1,0.3763430714607239,2.3940675258636475,0.6670373678207397,2006,104,0
1,0,0,0,1,0,0,0,1,0.04,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1,104d7,2.1747517585754395,5.395175933837891,0,1,0.3763430714607239,2.3940675258636475,0.6670373678207397,2006,104,0
1,1,1,0,1,0,0,0,1,0.11,1,0,1,0.02885950170457363,0,1,0.011105428449809551,1,1,0,1,1,0,0.0175496693700552,0,1,1,0,0,0,1,104d9,2.212660312652588,5.800351619720459,0,1,0.3763430714607239,2.3940675258636475,0.6670373678207397,2006,104,0
1,1,1,0,1,0,0,0,1,0.05,1,0,1,0.044257111847400665,0,0,0.005268703680485487,1,1,1,1,1,0,0.12351778894662857,0,1,0,0,0,0,1,104d9,2.1397130489349365,5.473117828369141,0,1,0.3763430714607239,2.3940675258636475,0.6670373678207397,2006,104,0
1,1,1,0,1,0.016105417162179947,0,0.8323572278022766,1,0.1,0,0,1,0.2501389682292938,0,1,0.0034741524141281843,0,0,0,1,1,0,0,0.8323572278022766,0,1,0,0,0,1,104d9,1.266947627067566,5.952694416046143,0,1,0.3763430714607239,2.3940675258636475,0.6670373678207397,2006,104,0
1,1,1,0,1,0,0.04679457098245621,0.12494150549173355,1,0.06,1,0,1,0.0430007241666317,0,0,0.026422131806612015,0,1,0,1,1,1,0.2372484803199768,0.0070191859267652035,1,0,0,0,0,1,104d9,1.971299409866333,5.695858955383301,0,1,0.3763430714607239,2.3940675258636475,0.6670373678207397,2006,104,0
0,1,0,0,0,0.006057546474039555,0,0,1,0.09,1,0,0,0.04877482354640961,0,0,0.016258275136351585,0,0,0,1,1,1,0.08480565249919891,0,1,1,1,0,0,1,104d9,1.6612709760665894,5.930086135864258,0,1,0.3763430714607239,2.3940675258636475,0.6670373678207397,2006,104,0
