state,distnum,distid,party,yearel,origvote,totvote,highestvote,sechighestvote,officeexp
1,2,2,100,1956,68847,168121,99274,68847,0
1,2,2,200,1956,99274,168121,99274,68847,3
1,2,2,100,1958,79672,149509,79672,69837,0
1,2,2,200,1958,69837,149509,79672,69837,4
1,2,2,100,1960,93515,187486,93971,93515,0
1,2,2,200,1960,93971,187486,93971,93515,4
1,2,2,100,1962,83652,164662,83652,81010,0
1,2,2,200,1962,81010,164662,83652,81010,0
1,2,2,100,1964,119530,188933,119530,69403,0
1,2,2,200,1964,69403,188933,119530,69403,0
1,2,2,100,1966,90298,160639,90298,69402,1
1,2,2,200,1966,69402,160639,90298,69402,0
1,2,2,100,1968,106203,196478,106203,89098,1
1,2,2,200,1968,89098,196478,106203,89098,0
1,2,2,100,1970,81492,174338,92846,81492,0
1,2,2,200,1970,92846,174338,92846,81492,0
1,2,2,100,1972,73400,215494,142094,73400,0
1,2,2,200,1972,142094,215494,142094,73400,1
1,2,2,100,1974,104436,176940,104436,69380,0
1,2,2,200,1974,69380,176940,104436,69380,0
1,2,2,100,1976,142684,219284,142684,74743,1
1,2,2,200,1976,74743,219284,142684,74743,0
1,2,2,100,1978,116624,166791,116624,50167,2
1,2,2,200,1978,50167,166791,116624,50167,0
1,2,2,100,1980,119176,223283,119176,104107,0
1,2,2,200,1980,104107,223283,119176,104107,0
1,2,2,100,1982,95254,170803,95254,74294,1
1,2,2,200,1982,74294,170803,95254,74294,0
1,2,2,100,1984,124110,228253,124110,103119,2
1,2,2,200,1984,103119,228253,124110,103119,0
1,2,2,100,1986,109229,162098,109229,52869,3
1,2,2,200,1986,52869,162098,109229,52869,0
1,2,2,100,1988,143326,225291,143326,81965,4
1,2,2,200,1988,81965,225291,143326,81965,0
1,2,2,100,1990,105085,176007,105085,70922,5
1,2,2,200,1990,70922,176007,105085,70922,0
1,2,2,100,1992,83197,242707,119416,83197,6
1,2,2,200,1992,119416,242707,119416,83197,0
1,2,2,100,1994,79188,186071,79188,79167,7
1,2,2,200,1994,79167,186071,79188,79167,0
1,2,2,100,1996,106544,223247,106544,100332,8
1,2,2,200,1996,100332,223247,106544,100332,0
1,2,2,100,1998,99567,163201,99567,57860,9
1,2,2,200,1998,57860,163201,99567,57860,0
1,3,3,100,1946,53404,129812,76408,53404,0
1,3,3,200,1946,76408,129812,76408,53404,0
1,3,3,100,1948,84449,169983,84449,83310,0
1,3,3,200,1948,83310,169983,84449,83310,1
1,3,3,100,1950,89391,172173,89391,82304,0
1,3,3,200,1950,82304,172173,89391,82304,1
1,3,3,100,1952,99408,210426,111018,99408,1
1,3,3,200,1952,111018,210426,111018,99408,0
1,3,3,100,1954,85369,180346,94977,85369,0
1,3,3,200,1954,94977,180346,94977,85369,1
1,3,3,100,1956,84568,211418,126850,84568,0
1,3,3,200,1956,126850,211418,126850,84568,2
1,3,3,100,1958,101028,179693,101028,78665,0
1,3,3,200,1958,78665,179693,101028,78665,3
1,3,3,100,1960,124547,226818,124547,102271,1
1,3,3,200,1960,102271,226818,124547,102271,3
1,3,3,100,1962,104728,186943,104728,82215,2
1,3,3,200,1962,82215,186943,104728,82215,0
1,3,3,100,1964,126353,197746,126353,71393,3
1,3,3,200,1964,71393,197746,126353,71393,0
1,3,3,100,1966,86029,161985,86029,67226,4
1,3,3,200,1966,67226,161985,86029,67226,0
1,3,3,100,1968,102636,190072,102636,80696,5
1,3,3,200,1968,80696,190072,102636,80696,0
1,3,3,100,1970,89042,163188,89042,69084,6
1,3,3,200,1970,69084,163188,89042,69084,0
1,3,3,100,1972,121217,227530,121217,106313,7
1,3,3,200,1972,106313,227530,121217,106313,0
1,3,3,100,1974,114316,175493,114316,55177,8
1,3,3,200,1974,55177,175493,114316,55177,0
1,3,3,100,1976,121623,222623,121623,96714,9
1,3,3,200,1976,96714,222623,121623,96714,0
1,3,3,100,1978,96830,166561,96830,66663,10
1,3,3,200,1978,66663,166561,96830,66663,0
1,3,3,100,1980,103903,223638,117024,103903,0
1,3,3,200,1980,117024,223638,117024,103903,0
1,3,3,100,1982,90638,181449,90638,88951,0
1,3,3,200,1982,88951,181449,90638,88951,1
1,3,3,100,1984,129230,245795,129230,115939,1
1,3,3,200,1984,115939,245795,129230,115939,1
1,3,3,100,1986,114276,164082,114276,49806,2
1,3,3,200,1986,49806,164082,114276,49806,0
1,3,3,100,1988,147394,221669,147394,74275,3
1,3,3,200,1988,74275,221669,147394,74275,0
1,3,3,100,1990,90772,174212,90772,83440,0
1,3,3,200,1990,83440,174212,90772,83440,0
1,3,3,100,1992,112022,247520,112022,84952,1
1,3,3,200,1992,84952,247520,112022,84952,0
1,3,3,100,1994,111261,175355,111261,53110,2
1,3,3,200,1994,53110,175355,111261,53110,0
1,3,3,100,1996,137108,211352,137108,59335,3
1,3,3,200,1996,59335,211352,137108,59335,0
1,3,3,100,1998,109726,153851,109726,42090,4
1,3,3,200,1998,42090,153851,109726,42090,0
1,4,4,100,1946,57913,163687,93513,57913,0
1,4,4,200,1946,93513,163687,93513,57913,0
1,4,4,100,1948,92618,213461,117727,92618,0
1,4,4,200,1948,117727,213461,117727,92618,1
1,4,4,100,1950,88682,210876,111939,88682,0
1,4,4,200,1950,111939,210876,111939,88682,0
1,4,4,100,1952,107881,274188,164689,107881,0
1,4,4,200,1952,164689,274188,164689,107881,1
1,4,4,100,1954,91184,220487,123890,91184,0
1,4,4,200,1954,123890,220487,123890,91184,2
1,4,4,100,1956,88487,284274,194333,88487,0
1,4,4,200,1956,194333,284274,194333,88487,3
1,4,4,100,1958,119766,235271,119766,115505,0
1,4,4,200,1958,115505,235271,119766,115505,4
1,4,4,100,1960,150205,313209,160654,150205,1
1,4,4,200,1960,160654,313209,160654,150205,0
1,4,4,100,1962,122362,254957,132595,122362,0
1,4,4,200,1962,132595,254957,132595,122362,1
1,4,4,100,1964,117220,226247,117220,109027,1
1,4,4,200,1964,109027,226247,117220,109027,2
1,4,4,100,1966,89709,176046,89709,86337,2
1,4,4,200,1966,86337,176046,89709,86337,2
1,4,4,100,1968,104723,221270,113749,104723,3
1,4,4,200,1968,113749,221270,113749,104723,0
1,4,4,100,1970,78699,184621,104494,78699,0
1,4,4,200,1970,104494,184621,104494,78699,0
1,4,4,100,1972,79515,215398,135883,79515,0
1,4,4,200,1972,135883,215398,135883,79515,1
1,4,4,100,1974,71047,157217,83630,71047,0
1,4,4,200,1974,83630,157217,83630,71047,2
1,4,4,100,1976,76722,207033,126314,76722,0
1,4,4,200,1976,126314,207033,126314,76722,3
1,4,4,100,1978,59918,143908,83990,59918,0
1,4,4,200,1978,83990,143908,83990,59918,4
1,4,4,100,1980,74326,198611,124285,74326,0
1,4,4,200,1980,124285,198611,124285,74326,5
1,4,4,100,1982,71110,165897,93660,71110,0
1,4,4,200,1982,93660,165897,93660,71110,6
1,4,4,100,1984,69666,235310,165644,69666,0
1,4,4,200,1984,165644,235310,165644,69666,7
1,4,4,100,1986,66999,144211,77212,66999,0
1,4,4,200,1986,77212,144211,77212,66999,8
1,4,4,100,1988,55751,205973,147843,55751,0
1,4,4,200,1988,147843,205973,147843,55751,0
1,4,4,100,1990,32352,138034,105682,32352,0
1,4,4,200,1990,105682,138034,105682,32352,1
1,4,4,100,1992,58666,219606,147816,58666,0
1,4,4,200,1992,147816,219606,147816,58666,2
1,4,4,100,1994,34962,147062,109436,34962,0
1,4,4,200,1994,109436,147062,109436,34962,3
1,4,4,100,1996,75902,201712,121949,75902,0
1,4,4,200,1996,121949,201712,121949,75902,4
1,4,4,100,1998,40988,137204,94767,40988,0
1,4,4,200,1998,94767,137204,94767,40988,5
1,5,5,100,1946,39785,97559,51790,39785,0
1,5,5,200,1946,51790,97559,51790,39785,0
1,5,5,100,1948,58300,122989,62804,58300,0
1,5,5,200,1948,62804,122989,62804,58300,1
1,5,5,100,1950,56752,124306,65915,56752,0
1,5,5,200,1950,65915,124306,65915,56752,2
1,5,5,100,1952,64020,147868,83848,64020,0
1,5,5,200,1952,83848,147868,83848,64020,3
1,5,5,100,1954,61313,129764,68451,61313,0
1,5,5,200,1954,68451,129764,68451,61313,4
1,5,5,100,1956,56375,148065,91690,56375,0
1,5,5,200,1956,91690,148065,91690,56375,5
1,5,5,100,1958,72604,134957,72604,62353,0
1,5,5,200,1958,62353,134957,72604,62353,6
1,5,5,100,1960,88310,160274,88310,71964,1
1,5,5,200,1960,71964,160274,88310,71964,6
1,5,5,100,1962,83321,142393,83321,59072,2
1,5,5,200,1962,59072,142393,83321,59072,0
1,5,5,100,1964,133072,197723,133072,64651,3
1,5,5,200,1964,64651,197723,133072,64651,0
1,5,5,100,1966,96801,163895,96801,67094,4
1,5,5,200,1966,67094,163895,96801,67094,0
1,5,5,100,1968,110337,195928,110337,85591,5
1,5,5,200,1968,85591,195928,110337,85591,0
1,5,5,100,1970,96947,177088,96947,78414,6
1,5,5,200,1970,78414,177088,96947,78414,6
1,5,5,100,1972,112142,229720,117578,112142,7
1,5,5,200,1972,117578,229720,117578,112142,0
1,5,5,100,1974,90407,188476,94998,90407,0
1,5,5,200,1974,94998,188476,94998,90407,1
1,5,5,100,1976,77308,236060,157009,77308,0
1,5,5,200,1976,157009,236060,157009,77308,2
1,5,5,100,1978,96738,184900,96738,88162,0
1,5,5,200,1978,88162,184900,96738,88162,0
1,5,5,100,1980,117316,232930,117316,115614,1
1,5,5,200,1980,115614,232930,117316,115614,0
1,5,5,100,1982,101362,173373,101362,70808,2
1,5,5,200,1982,70808,173373,101362,70808,0
1,5,5,100,1984,109425,240657,130700,109425,3
1,5,5,200,1984,130700,240657,130700,109425,0
1,5,5,100,1986,63371,162035,98664,63371,0
1,5,5,200,1986,98664,162035,98664,63371,1
1,5,5,100,1988,58612,222341,163729,58612,0
1,5,5,200,1988,163729,222341,163729,58612,2
1,5,5,100,1990,85803,181603,93912,85803,4
1,5,5,200,1990,93912,181603,93912,85803,0
1,5,5,100,1992,74791,240283,104891,74791,0
1,5,5,200,1992,104891,240283,104891,74791,1
1,5,5,100,1994,57579,179053,93471,57579,0
1,5,5,200,1994,93471,179053,93471,57579,2
1,5,5,100,1996,105359,215130,105359,98782,0
1,5,5,200,1996,98782,215130,105359,98782,3
1,5,5,100,1998,78394,157157,78394,76051,1
1,5,5,200,1998,76051,157157,78394,76051,0
1,6,6,100,1964,115498,196603,115498,81105,1
1,6,6,200,1964,81105,196603,115498,81105,0
1,6,6,100,1966,79865,167503,81907,79865,2
1,6,6,200,1966,81907,167503,81907,79865,0
1,6,6,100,1968,76413,202621,126208,76413,0
1,6,6,200,1968,126208,202621,126208,76413,1
1,6,6,100,1970,96969,189875,96969,92906,0
1,6,6,200,1970,92906,189875,96969,92906,0
1,6,6,100,1972,140290,233073,140290,92783,1
1,6,6,200,1972,92783,233073,140290,92783,0
1,6,6,100,1974,122785,193550,122785,69942,0
1,6,6,200,1974,69942,193550,122785,69942,0
1,6,6,100,1976,134914,238282,134914,102364,1
1,6,6,200,1976,102364,238282,134914,102364,0
1,6,6,100,1978,119537,186201,119537,66664,2
1,6,6,200,1978,66664,186201,119537,66664,0
1,6,6,100,1980,142685,242011,142685,98331,3
1,6,6,200,1980,98331,242011,142685,98331,0
1,6,6,100,1982,92178,192972,99703,92178,0
1,6,6,200,1982,99703,192972,99703,92178,0
1,6,6,100,1984,87489,242911,155422,87489,0
1,6,6,200,1984,155422,242911,155422,87489,1
1,6,6,100,1986,62133,173437,111304,62133,0
1,6,6,200,1986,111304,173437,111304,62133,2
1,6,6,100,1988,78814,236888,157020,78814,0
1,6,6,200,1988,157020,236888,157020,78814,3
1,6,6,100,1990,48628,189733,141105,48628,0
1,6,6,200,1990,141105,189733,141105,48628,4
1,6,6,100,1992,60373,239597,166967,60373,0
1,6,6,200,1992,166967,239597,166967,60373,5
1,6,6,100,1994,44159,192717,123101,44159,0
1,6,6,200,1994,123101,192717,123101,44159,6
1,6,6,100,1996,104225,227756,113020,104225,0
1,6,6,200,1996,113020,227756,113020,104225,7
1,6,6,100,1998,69201,174781,101630,69201,0
1,6,6,200,1998,101630,174781,101630,69201,8
1,98,7,100,1946,277872,679766,377972,277872,0
1,98,7,200,1946,377972,679766,377972,277872,0
1,98,7,100,1948,429348,879351,433311,429348,0
1,98,7,200,1948,433311,879351,433311,429348,1
1,98,7,100,1950,426485,878388,433912,426485,0
1,98,7,200,1950,433912,878388,433912,426485,2
1,98,7,100,1952,489645,1093948,601238,489645,0
1,98,7,200,1952,601238,1093948,601238,489645,3
1,98,7,100,1954,455887,930472,474585,455887,0
1,98,7,200,1954,474585,930472,474585,455887,4
1,98,7,100,1956,428709,1112096,683387,428709,0
1,98,7,200,1956,683387,1112096,683387,428709,5
1,98,7,100,1958,542315,967767,542315,425452,0
1,98,7,200,1958,425452,967767,542315,425452,6
1,98,7,100,1960,657680,1218483,657680,560803,1
1,98,7,200,1960,560803,1218483,657680,560803,6
1,98,7,100,1962,543424,1030999,543424,487575,0
1,98,7,200,1962,487575,1030999,543424,487575,0
2,1,8,100,1964,95195,190593,95398,95195,0
2,1,8,200,1964,95398,190593,95398,95195,0
2,1,8,100,1966,81302,161384,81302,72984,0
2,1,8,200,1966,72984,161384,81302,72984,0
2,1,8,100,1968,113501,200450,113501,86949,1
2,1,8,200,1968,86949,200450,113501,86949,0
2,1,8,100,1970,99483,168154,99483,68671,2
2,1,8,200,1970,68671,168154,99483,68671,0
2,1,8,100,1972,129408,217996,129408,88588,3
2,1,8,200,1972,88588,217996,129408,88588,0
2,1,8,100,1974,93524,187727,94203,93524,4
2,1,8,200,1974,94203,187727,94203,93524,0
2,1,8,100,1976,108105,253628,145523,108105,0
2,1,8,200,1976,145523,253628,145523,108105,1
2,1,8,100,1978,70348,196485,120791,70348,0
2,1,8,200,1978,120791,196485,120791,70348,2
2,1,8,100,1980,86819,275486,188667,86819,0
2,1,8,200,1980,188667,275486,188667,86819,3
2,1,8,100,1982,118884,247955,124850,118884,0
2,1,8,200,1982,124850,247955,124850,118884,0
2,1,8,100,1984,104972,287757,182785,104972,0
2,1,8,200,1984,182785,287757,182785,104972,1
2,1,8,100,1986,121848,229217,121848,100260,0
2,1,8,200,1986,100260,229217,121848,100260,0
2,1,8,100,1988,190989,302114,190989,111125,1
2,1,8,200,1988,111125,302114,190989,111125,0
2,1,8,100,1990,167623,278459,167623,110836,0
2,1,8,200,1990,110836,278459,167623,110836,4
2,1,8,100,1992,232696,357932,232696,125236,1
2,1,8,200,1992,125236,357932,232696,125236,0
2,1,8,100,1994,126373,262689,136316,126373,0
2,1,8,200,1994,136316,262689,136316,126373,0
2,1,8,100,1996,173745,314099,173745,140354,0
2,1,8,200,1996,140354,314099,173745,140354,1
2,1,8,100,1998,134335,222677,134335,79160,1
2,1,8,200,1998,79160,222677,134335,79160,0
2,2,9,100,1964,110931,178909,110931,67978,0
2,2,9,200,1964,67978,178909,110931,67978,0
2,2,9,100,1966,85956,151432,85956,65476,1
2,2,9,200,1966,65476,151432,85956,65476,0
2,2,9,100,1968,102369,183767,102369,81398,2
2,2,9,200,1968,81398,183767,102369,81398,0
2,2,9,100,1970,96235,149877,96235,53642,3
2,2,9,200,1970,53642,149877,96235,53642,0
2,2,9,100,1972,89135,195415,106280,89135,0
2,2,9,200,1972,106280,195415,106280,89135,0
2,2,9,100,1974,47399,165553,118154,47399,0
2,2,9,200,1974,118154,165553,118154,47399,1
2,2,9,100,1976,43150,219547,169292,43150,0
2,2,9,200,1976,169292,219547,169292,43150,2
2,2,9,100,1978,70691,173037,87939,70691,0
2,2,9,200,1978,87939,173037,87939,70691,0
2,2,9,100,1980,51026,237432,186406,51026,0
2,2,9,200,1980,186406,237432,186406,51026,1
2,2,9,100,1982,68086,204161,136075,68086,0
2,2,9,200,1982,136075,204161,136075,68086,2
2,2,9,100,1984,57347,253755,192166,57347,0
2,2,9,200,1984,192166,253755,192166,57347,3
2,2,9,100,1986,43614,192384,148770,43614,0
2,2,9,200,1986,148770,192384,148770,43614,4
2,2,9,100,1988,85346,252575,167229,85346,0
2,2,9,200,1988,167229,252575,167229,85346,5
2,2,9,100,1990,116798,238502,121704,116798,0
2,2,9,200,1990,121704,238502,121704,116798,6
2,2,9,100,1992,130824,311372,153022,130824,0
2,2,9,200,1992,153022,311372,153022,130824,7
2,2,9,100,1994,109615,239839,109615,97754,0
2,2,9,200,1994,97754,239839,109615,97754,0
2,2,9,100,1996,205439,285589,205439,9294,1
2,2,9,100,1998,146202,191876,146202,45674,2
2,2,9,200,1998,45674,191876,146202,45674,0
3,1,10,100,1946,40549,102049,59222,40549,0
3,1,10,200,1946,59222,102049,59222,40549,0
3,1,10,100,1948,56604,132186,75582,56604,0
3,1,10,200,1948,75582,132186,75582,56604,1
3,1,10,100,1950,39717,127735,88018,39717,0
3,1,10,200,1950,88018,127735,88018,39717,2
3,1,10,100,1952,49379,151196,101512,49379,0
3,1,10,200,1952,101512,151196,101512,49379,3
3,1,10,100,1954,54675,123095,68420,54675,0
3,1,10,200,1954,68420,123095,68420,54675,4
3,1,10,100,1956,52213,145091,92269,52213,0
3,1,10,200,1956,92269,145091,92269,52213,5
3,1,10,100,1958,52853,119469,66067,52853,0
3,1,10,200,1958,66067,119469,66067,52853,0
3,1,10,100,1960,46863,150295,102921,46863,0
3,1,10,200,1960,102921,150295,102921,46863,1
3,1,10,100,1962,36711,143209,106498,36711,0
3,1,10,200,1962,106498,143209,106498,36711,2
3,1,10,200,1966,109370,109370,109370,NA,4
3,1,10,200,1968,140419,140419,140419,NA,5
3,1,10,200,1970,117045,117045,117045,NA,6
3,1,10,200,1972,159282,159282,159282,NA,7
3,1,10,100,1974,43524,150809,107285,43524,0
3,1,10,200,1974,107285,150809,107285,43524,8
3,1,10,100,1976,78181,215833,137652,78181,0
3,1,10,200,1976,137652,215833,137652,78181,9
3,1,10,200,1978,131773,131773,131773,NA,10
3,1,10,100,1980,52457,208872,156415,52457,0
3,1,10,200,1980,156415,208872,156415,52457,11
3,1,10,100,1984,60372,223018,162646,60372,0
3,1,10,200,1984,162646,223018,162646,60372,13
3,1,10,100,1986,32430,146083,113653,32430,0
3,1,10,200,1986,113653,146083,113653,32430,14
3,1,10,100,1988,186356,225263,186356,38907,0
3,1,10,200,1988,38907,225263,186356,38907,15
3,1,10,100,1990,43611,194359,150748,43611,1
3,1,10,200,1990,150748,194359,150748,43611,15
3,1,10,100,1992,135049,261992,135049,113828,0
3,1,10,200,1992,113828,261992,135049,113828,0
3,1,10,100,1994,150047,150047,150047,NA,1
3,1,10,100,1996,129232,245033,129232,115801,2
3,1,10,200,1996,115801,245033,129232,115801,0
3,1,10,100,1998,121863,169918,121863,48055,3
3,1,10,200,1998,48055,169918,121863,48055,0
3,2,11,100,1946,56459,116213,59754,56459,0
3,2,11,200,1946,59754,116213,59754,56459,0
3,2,11,100,1948,81775,149042,81775,67267,0
3,2,11,200,1948,67267,149042,81775,67267,1
3,2,11,100,1950,76497,139990,76497,63493,1
3,2,11,200,1950,63493,139990,76497,63493,0
3,2,11,100,1952,88424,170703,88424,81847,0
3,2,11,200,1952,81847,170703,88424,81847,0
3,2,11,100,1954,77899,130624,77899,52725,1
3,2,11,200,1954,52725,130624,77899,52725,0
3,2,11,100,1956,103563,169161,103563,65598,2
3,2,11,200,1956,65598,169161,103563,65598,0
3,2,11,100,1958,103079,103079,103079,NA,3
3,2,11,100,1960,135815,135815,135815,NA,4
3,2,11,100,1962,92340,136213,92340,43873,5
3,2,11,200,1962,43873,136213,92340,43873,0
3,2,11,100,1964,125894,125894,125894,NA,6
3,2,11,100,1966,95985,95985,95985,NA,7
3,2,11,100,1968,126485,171747,126485,NA,8
3,2,11,100,1970,111430,111430,111430,NA,9
3,2,11,100,1972,137616,137616,137616,NA,10
3,2,11,100,1974,105763,105763,105763,NA,11
3,2,11,100,1976,134408,185747,134408,41563,12
3,2,11,200,1976,41563,185747,134408,41563,0
3,2,11,100,1978,101570,139451,101570,37881,13
3,2,11,200,1978,37881,139451,101570,37881,0
3,2,11,100,1980,120711,179630,120711,38672,14
3,2,11,200,1980,38672,179630,120711,38672,0
3,2,11,100,1982,118215,162759,118215,44544,15
3,2,11,200,1982,44544,162759,118215,44544,0
3,2,11,100,1984,132693,193156,132693,60463,16
3,2,11,200,1984,60463,193156,132693,60463,0
3,2,11,100,1986,91033,138055,91033,47022,17
3,2,11,200,1986,47022,138055,91033,47022,0
3,2,11,100,1988,156262,194708,156262,38446,0
3,2,11,200,1988,38446,194708,156262,38446,0
3,2,11,100,1990,134152,134152,134152,NA,1
3,2,11,100,1992,131215,246973,131215,76795,2
3,2,11,200,1992,76795,246973,131215,76795,0
3,2,11,100,1994,117178,200077,117178,72732,3
3,2,11,200,1994,72732,200077,117178,72732,0
3,2,11,100,1996,162995,227185,162995,49885,4
3,2,11,200,1996,49885,227185,162995,49885,0
3,2,11,100,1998,130550,130550,130550,NA,5
3,3,12,100,1946,69038,111071,69038,42033,0
3,3,12,200,1946,42033,111071,69038,42033,0
3,3,12,100,1948,104601,141456,104601,36855,1
3,3,12,200,1948,36855,141456,104601,36855,0
3,3,12,100,1950,93591,130849,93591,37258,2
3,3,12,200,1950,37258,130849,93591,37258,0
3,3,12,100,1952,108743,161533,108743,52348,3
3,3,12,200,1952,52348,161533,108743,52348,0
3,3,12,100,1954,110013,110013,110013,NA,4
3,3,12,100,1956,114848,161889,114848,47041,5
3,3,12,200,1956,47041,161889,114848,47041,0
3,3,12,100,1958,114483,114483,114483,NA,6
3,3,12,100,1960,145237,145237,145237,NA,7
3,3,12,100,1962,129326,178744,129326,49418,8
3,3,12,200,1962,49418,178744,129326,49418,0
3,3,12,100,1964,177917,177917,177917,NA,9
3,3,12,100,1966,126664,178310,126664,51646,10
3,3,12,200,1966,51646,178310,126664,51646,0
3,3,12,100,1968,91587,191494,91587,53047,11
3,3,12,200,1968,46860,191494,91587,53047,5
3,3,12,100,1970,63942,169795,63942,60575,0
3,3,12,200,1970,60575,169795,63942,60575,0
3,3,12,100,1972,156703,156703,156703,NA,0
3,3,12,100,1974,78244,157979,78244,60717,0
3,3,12,200,1974,60717,157979,78244,60717,0
3,3,12,100,1976,168520,168520,168520,NA,1
3,3,12,100,1978,119337,158596,119337,39259,2
3,3,12,200,1978,39259,158596,119337,39259,0
3,3,12,100,1980,141560,195773,141560,54213,3
3,3,12,200,1980,54213,195773,141560,54213,0
3,3,12,100,1982,142611,142611,142611,NA,4
3,3,12,100,1984,148461,220226,148461,71765,5
3,3,12,100,1986,120222,120222,120222,NA,6
3,3,12,100,1988,191009,191009,191009,NA,7
3,3,12,100,1990,150992,150992,150992,NA,8
3,3,12,100,1992,115587,260881,131473,115587,9
3,3,12,200,1992,131473,260881,131473,115587,0
3,3,12,100,1994,93689,211874,115810,93689,0
3,3,12,200,1994,115810,211874,115810,93689,1
3,3,12,100,1996,135044,254100,135044,115694,0
3,3,12,200,1996,115694,254100,135044,115694,2
3,3,12,100,1998,108613,190674,108613,79174,1
3,3,12,200,1998,79174,190674,108613,79174,0
3,4,13,100,1946,59847,120925,59847,58663,0
3,4,13,200,1946,58663,120925,59847,58663,0
3,4,13,100,1948,89064,150512,89064,61448,1
3,4,13,200,1948,61448,150512,89064,61448,0
3,4,13,100,1950,76881,135020,76881,656,2
3,4,13,100,1952,93530,171862,93530,77536,3
3,4,13,200,1952,77536,171862,93530,77536,0
3,4,13,100,1954,83053,145371,83053,62318,4
3,4,13,200,1954,62318,145371,83053,62318,0
3,4,13,100,1956,104653,176090,104653,NA,5
3,4,13,100,1958,93993,147352,93993,53359,6
3,4,13,200,1958,53359,147352,93993,53359,0
3,4,13,100,1960,122364,189634,122364,67270,7
3,4,13,200,1960,67270,189634,122364,67270,0
3,4,13,100,1962,145166,160476,145166,15310,8
3,4,13,100,1964,142339,198373,142339,56034,9
3,4,13,200,1964,56034,198373,142339,56034,0
3,4,13,100,1966,137681,137681,137681,NA,10
3,4,13,100,1968,121211,198869,121211,77658,11
3,4,13,200,1968,77658,198869,121211,77658,0
3,4,13,100,1970,95016,174886,95016,79870,12
3,4,13,200,1970,79870,174886,95016,79870,0
3,4,13,100,1972,101714,205105,101714,92250,1
3,4,13,200,1972,92250,205105,101714,92250,0
3,4,13,100,1974,77286,151993,77286,52785,2
3,4,13,200,1974,21922,151993,77286,52785,0
3,4,13,100,1976,109268,209830,109268,100562,3
3,4,13,200,1976,100562,209830,109268,100562,0
3,4,13,100,1978,111353,111353,111353,NA,4
3,4,13,100,1980,103466,199364,103466,95898,0
3,4,13,200,1980,95898,199364,103466,95898,0
3,4,13,100,1982,121802,204606,121802,82804,1
3,4,13,200,1982,82804,204606,121802,82804,8
